Series,Concentration,Replicate,W,A
Pure VCO,0%,1,3009,0.0108
Pure VCO,0%,1,3007,0.0115
Pure VCO,0%,1,3005,0.0121
Pure VCO,0%,1,3003,0.0127
Pure VCO,0%,1,3001,0.0133
Pure VCO,0%,2,3010,0.0115
Pure VCO,0%,2,3008,0.0122
Pure VCO,0%,2,3006,0.0129
Pure VCO,0%,2,3004,0.0134
Pure VCO,0%,2,3002,0.014
Pure VCO,0%,2,3000,0.0145
Pure VCO,0%,3,3009,0.0132
Pure VCO,0%,3,3007,0.0139
Pure VCO,0%,3,3005,0.0145
Pure VCO,0%,3,3003,0.0152
Pure VCO,0%,3,3001,0.0159
Pure VCO,0%,4,3010,0.0141
Pure VCO,0%,4,3008,0.0149
Pure VCO,0%,4,3006,0.0158
Pure VCO,0%,4,3004,0.0166
Pure VCO,0%,4,3002,0.0173
Pure VCO,0%,4,3000,0.0181
Pure VCO,0%,5,3009,0.015
Pure VCO,0%,5,3007,0.0159
Pure VCO,0%,5,3005,0.0168
Pure VCO,0%,5,3003,0.0176
Pure VCO,0%,5,3001,0.0185
Pure VCO,0%,6,3010,0.0155
Pure VCO,0%,6,3008,0.0165
Pure VCO,0%,6,3006,0.0174
Pure VCO,0%,6,3004,0.0183
Pure VCO,0%,6,3002,0.0192
Pure VCO,0%,6,3000,0.02
Pure VCO,0%,7,3009,0.0153
Pure VCO,0%,7,3007,0.0162
Pure VCO,0%,7,3005,0.0172
Pure VCO,0%,7,3003,0.018
Pure VCO,0%,7,3001,0.0189
Pure VCO,0%,8,3010,0.0162
Pure VCO,0%,8,3008,0.0172
Pure VCO,0%,8,3006,0.0182
Pure VCO,0%,8,3004,0.019
Pure VCO,0%,8,3002,0.0198
Pure VCO,0%,8,3000,0.0207
Pure VCO,0%,9,3009,0.0165
Pure VCO,0%,9,3007,0.0176
Pure VCO,0%,9,3005,0.0184
Pure VCO,0%,9,3003,0.0193
Pure VCO,0%,9,3001,0.0202
Pure VCO,0%,10,3010,0.0159
Pure VCO,0%,10,3008,0.017
Pure VCO,0%,10,3006,0.018
Pure VCO,0%,10,3004,0.019
Pure VCO,0%,10,3002,0.0199
Pure VCO,0%,10,3000,0.0207
Pure VCO,0%,11,3009,0.0165
Pure VCO,0%,11,3007,0.0174
Pure VCO,0%,11,3005,0.0183
Pure VCO,0%,11,3003,0.0193
Pure VCO,0%,11,3001,0.0203
Pure VCO,0%,12,3010,0.018
Pure VCO,0%,12,3008,0.0191
Pure VCO,0%,12,3006,0.0201
Pure VCO,0%,12,3004,0.0212
Pure VCO,0%,12,3002,0.022
Pure VCO,0%,12,3000,0.0228
Pure VCO,0%,13,3009,0.0189
Pure VCO,0%,13,3007,0.0201
Pure VCO,0%,13,3005,0.021
Pure VCO,0%,13,3003,0.022
Pure VCO,0%,13,3001,0.0229
Pure VCO,0%,14,3010,0.0196
Pure VCO,0%,14,3008,0.0209
Pure VCO,0%,14,3006,0.0221
Pure VCO,0%,14,3004,0.0233
Pure VCO,0%,14,3002,0.0244
Pure VCO,0%,14,3000,0.0254
Pure VCO,0%,15,3009,0.0245
Pure VCO,0%,15,3007,0.0261
Pure VCO,0%,15,3005,0.0276
Pure VCO,0%,15,3003,0.0289
Pure VCO,0%,15,3001,0.0302
Adulterated,5%,1,3001,0.009816557
Adulterated,5%,1,3003,0.009567588
Adulterated,5%,1,3005,0.009278216
Adulterated,5%,1,3007,0.008923526
Adulterated,5%,1,3009,0.008496046
Adulterated,5%,2,3000,0.009798857
Adulterated,5%,2,3002,0.009529744
Adulterated,5%,2,3004,0.009234586
Adulterated,5%,2,3006,0.008906932
Adulterated,5%,2,3008,0.008527282
Adulterated,5%,2,3010,0.008092035
Adulterated,5%,3,3001,0.010220816
Adulterated,5%,3,3003,0.009898851
Adulterated,5%,3,3005,0.009552248
Adulterated,5%,3,3007,0.009175923
Adulterated,5%,3,3009,0.008769853
Adulterated,10%,1,3000,0.011107495
Adulterated,10%,1,3002,0.01083793
Adulterated,10%,1,3004,0.010548679
Adulterated,10%,1,3006,0.010204722
Adulterated,10%,1,3008,0.009797838
Adulterated,10%,1,3010,0.009328323
Adulterated,10%,2,3001,0.011268981
Adulterated,10%,2,3003,0.011027901
Adulterated,10%,2,3005,0.01071199
Adulterated,10%,2,3007,0.010320965
Adulterated,10%,2,3009,0.009854215
Adulterated,10%,3,3000,0.011814099
Adulterated,10%,3,3002,0.011516299
Adulterated,10%,3,3004,0.011208696
Adulterated,10%,3,3006,0.010844728999999999
Adulterated,10%,3,3008,0.010376990000000001
Adulterated,10%,3,3010,0.009833648
Adulterated,15%,1,3001,0.012712506
Adulterated,15%,1,3003,0.01246606
Adulterated,15%,1,3005,0.012139144
Adulterated,15%,1,3007,0.011709016
Adulterated,15%,1,3009,0.011164651
Adulterated,15%,2,3000,0.012815327
Adulterated,15%,2,3002,0.01256215
Adulterated,15%,2,3004,0.012268347
Adulterated,15%,2,3006,0.011879739
Adulterated,15%,2,3008,0.011388174
Adulterated,15%,2,3010,0.010801589
Adulterated,15%,3,3001,0.012880449
Adulterated,15%,3,3003,0.012590622
Adulterated,15%,3,3005,0.01224536
Adulterated,15%,3,3007,0.011824047
Adulterated,15%,3,3009,0.011279243
Adulterated,20%,1,3000,0.0134082
Adulterated,20%,1,3002,0.01321576
Adulterated,20%,1,3004,0.012965256
Adulterated,20%,1,3006,0.01260697
Adulterated,20%,1,3008,0.012117871
Adulterated,20%,1,3010,0.011504453
Adulterated,20%,2,3001,0.013147545
Adulterated,20%,2,3003,0.012917226
Adulterated,20%,2,3005,0.012625506
Adulterated,20%,2,3007,0.012216898
Adulterated,20%,2,3009,0.011636182
Adulterated,20%,3,3000,0.013234137
Adulterated,20%,3,3002,0.01300954
Adulterated,20%,3,3004,0.012755506
Adulterated,20%,3,3006,0.012426077
Adulterated,20%,3,3008,0.011985949
Adulterated,20%,3,3010,0.011358457
Adulterated,25%,1,3001,0.01350309
Adulterated,25%,1,3003,0.013307421
Adulterated,25%,1,3005,0.013042325
Adulterated,25%,1,3007,0.01267206
Adulterated,25%,1,3009,0.012149193
Adulterated,25%,2,3000,0.013626292
Adulterated,25%,2,3002,0.013487874
Adulterated,25%,2,3004,0.013292289
Adulterated,25%,2,3006,0.012966761
Adulterated,25%,2,3008,0.01245303
Adulterated,25%,2,3010,0.01177181
Adulterated,25%,3,3001,0.013499878
Adulterated,25%,3,3003,0.013323309
Adulterated,25%,3,3005,0.013050545
Adulterated,25%,3,3007,0.012654622
Adulterated,25%,3,3009,0.012112055
Adulterated,30%,1,3000,0.014170336
Adulterated,30%,1,3002,0.014082953
Adulterated,30%,1,3004,0.013919877
Adulterated,30%,1,3006,0.013617088
Adulterated,30%,1,3008,0.013146197
Adulterated,30%,1,3010,0.012499827
Adulterated,30%,2,3001,0.015329095
Adulterated,30%,2,3003,0.015226356
Adulterated,30%,2,3005,0.014997263
Adulterated,30%,2,3007,0.014597569
Adulterated,30%,2,3009,0.013975158
Adulterated,30%,3,3000,0.015715213
Adulterated,30%,3,3002,0.015633791
Adulterated,30%,3,3004,0.015492346
Adulterated,30%,3,3006,0.015181683
Adulterated,30%,3,3008,0.01467657
Adulterated,30%,3,3010,0.013988121
Adulterated,35%,1,3001,0.013966982
Adulterated,35%,1,3003,0.013951478
Adulterated,35%,1,3005,0.013831031
Adulterated,35%,1,3007,0.013508491
Adulterated,35%,1,3009,0.012952789
Adulterated,35%,2,3000,0.01443157
Adulterated,35%,2,3002,0.014385821
Adulterated,35%,2,3004,0.014311538
Adulterated,35%,2,3006,0.014090464
Adulterated,35%,2,3008,0.013648182
Adulterated,35%,2,3010,0.013025476
Adulterated,35%,3,3001,0.014479491
Adulterated,35%,3,3003,0.014445937
Adulterated,35%,3,3005,0.014283124
Adulterated,35%,3,3007,0.013928186
Adulterated,35%,3,3009,0.013390559
Adulterated,40%,1,3000,0.015259379
Adulterated,40%,1,3002,0.015328162
Adulterated,40%,1,3004,0.015278646
Adulterated,40%,1,3006,0.015012357
Adulterated,40%,1,3008,0.014495186
Adulterated,40%,1,3010,0.013754267
Adulterated,40%,2,3001,0.016080556
Adulterated,40%,2,3003,0.016068237
Adulterated,40%,2,3005,0.015917517
Adulterated,40%,2,3007,0.015525822
Adulterated,40%,2,3009,0.014861892
Adulterated,40%,3,3000,0.016678934
Adulterated,40%,3,3002,0.016673291
Adulterated,40%,3,3004,0.016584276
Adulterated,40%,3,3006,0.016297812
Adulterated,40%,3,3008,0.01575298
Adulterated,40%,3,3010,0.014964353
Adulterated,45%,1,3001,0.016764627
Adulterated,45%,1,3003,0.016767048
Adulterated,45%,1,3005,0.016622049
Adulterated,45%,1,3007,0.016220951
Adulterated,45%,1,3009,0.015548873
Adulterated,45%,2,3000,0.016533728
Adulterated,45%,2,3002,0.016593261
Adulterated,45%,2,3004,0.016552573
Adulterated,45%,2,3006,0.016269645
Adulterated,45%,2,3008,0.015730844
Adulterated,45%,2,3010,0.014956153
Adulterated,45%,3,3001,0.01676042
Adulterated,45%,3,3003,0.016790186
Adulterated,45%,3,3005,0.016662996
Adulterated,45%,3,3007,0.016292886
Adulterated,45%,3,3009,0.015658286
Adulterated,50%,1,3000,0.017136609
Adulterated,50%,1,3002,0.017225067
Adulterated,50%,1,3004,0.01720707
Adulterated,50%,1,3006,0.016956782
Adulterated,50%,1,3008,0.016420462
Adulterated,50%,1,3010,0.01558649
Adulterated,50%,2,3001,0.017754548
Adulterated,50%,2,3003,0.017763001
Adulterated,50%,2,3005,0.017609919
Adulterated,50%,2,3007,0.017181154
Adulterated,50%,2,3009,0.016435636
Adulterated,50%,3,3000,0.018481504
Adulterated,50%,3,3002,0.018516143
Adulterated,50%,3,3004,0.018432532
Adulterated,50%,3,3006,0.018096874
Adulterated,50%,3,3008,0.017473323
Adulterated,50%,3,3010,0.016574556
Adulterated,55%,1,3001,0.016352047
Adulterated,55%,1,3003,0.016520426
Adulterated,55%,1,3005,0.01647955
Adulterated,55%,1,3007,0.016133619
Adulterated,55%,1,3009,0.015470171
Adulterated,55%,2,3000,0.016758218
Adulterated,55%,2,3002,0.016951653
Adulterated,55%,2,3004,0.017007566
Adulterated,55%,2,3006,0.016816393
Adulterated,55%,2,3008,0.016323739
Adulterated,55%,2,3010,0.015508952
Adulterated,55%,3,3001,0.016489874
Adulterated,55%,3,3003,0.016662611
Adulterated,55%,3,3005,0.01664617
Adulterated,55%,3,3007,0.016319252
Adulterated,55%,3,3009,0.015674544
Adulterated,60%,1,3000,0.016682227
Adulterated,60%,1,3002,0.01693827
Adulterated,60%,1,3004,0.01706468
Adulterated,60%,1,3006,0.0169208
Adulterated,60%,1,3008,0.016417076
Adulterated,60%,1,3010,0.015590549
Adulterated,60%,2,3001,0.017159008
Adulterated,60%,2,3003,0.017368447
Adulterated,60%,2,3005,0.017378885
Adulterated,60%,2,3007,0.017055415
Adulterated,60%,2,3009,0.016386221
Adulterated,60%,3,3000,0.01731422
Adulterated,60%,3,3002,0.017565124
Adulterated,60%,3,3004,0.017680403
Adulterated,60%,3,3006,0.017501933
Adulterated,60%,3,3008,0.016964338
Adulterated,60%,3,3010,0.016097996
Pure VCO,0%,1,1659,0.007
Pure VCO,0%,1,1657,0.0069
Pure VCO,0%,1,1655,0.0068
Pure VCO,0%,1,1653,0.0067
Pure VCO,0%,1,1651,0.0064
Pure VCO,0%,2,1660,0.008
Pure VCO,0%,2,1658,0.008
Pure VCO,0%,2,1656,0.008
Pure VCO,0%,2,1654,0.0077
Pure VCO,0%,2,1652,0.0078
Pure VCO,0%,2,1650,0.0074
Pure VCO,0%,3,1659,0.0077
Pure VCO,0%,3,1657,0.0076
Pure VCO,0%,3,1655,0.0073
Pure VCO,0%,3,1653,0.0072
Pure VCO,0%,3,1651,0.007
Pure VCO,0%,4,1660,0.0074
Pure VCO,0%,4,1658,0.0074
Pure VCO,0%,4,1656,0.0073
Pure VCO,0%,4,1654,0.007
Pure VCO,0%,4,1652,0.007
Pure VCO,0%,4,1650,0.0068
Pure VCO,0%,5,1659,0.0069
Pure VCO,0%,5,1657,0.0068
Pure VCO,0%,5,1655,0.0066
Pure VCO,0%,5,1653,0.0065
Pure VCO,0%,5,1651,0.0064
Pure VCO,0%,6,1660,0.0079
Pure VCO,0%,6,1658,0.0078
Pure VCO,0%,6,1656,0.0077
Pure VCO,0%,6,1654,0.0074
Pure VCO,0%,6,1652,0.0075
Pure VCO,0%,6,1650,0.0072
Pure VCO,0%,7,1659,0.007
Pure VCO,0%,7,1657,0.0069
Pure VCO,0%,7,1655,0.0066
Pure VCO,0%,7,1653,0.0065
Pure VCO,0%,7,1651,0.0064
Pure VCO,0%,8,1660,0.0079
Pure VCO,0%,8,1658,0.0079
Pure VCO,0%,8,1656,0.0078
Pure VCO,0%,8,1654,0.0075
Pure VCO,0%,8,1652,0.0077
Pure VCO,0%,8,1650,0.0074
Pure VCO,0%,9,1659,0.0071
Pure VCO,0%,9,1657,0.007
Pure VCO,0%,9,1655,0.0068
Pure VCO,0%,9,1653,0.0067
Pure VCO,0%,9,1651,0.0067
Pure VCO,0%,10,1660,0.0073
